atom ion acol tcol arad xrad adi bdi t0 t1
28  4    5.43E-11 6.37E+05 1.60E-12 7.00E-01 2.30E-02 1.28E-01 4.20E+05 3.18E+05
28  5    2.46E-11 8.76E+05 3.85E-12 7.46E-01 4.19E-02 4.176-02 5.56E+05 4.55E+05
28  6    1.00E-11 1.25E+06 9.05E-12 6.82E-01 6.83E-02 5.58E-02 8.72E+05 5.51E+05
28  7    5.29E-11 1.54E+06 1.75E-11 6.98E-01 1.22E-01 3.46E-02 7.93E+05 5.28E+05
28  8    2.67E-12 1.88E+06 3.04E-11 7.28E-01 3.00E-01 0.00E+00 9.00E+05 0.00E+00
28  9    1.26E-12 2.24E+06 8.91E-11 7.59E-01 1.50E-01 1.90E+00 1.00E+06 5.50E+05
28 10    4.66E-13 2.60E+06 1.19E-10 7.90E-01 6.97E-01 2.77E-01 7.81E+05 8.87E+05
28 11    1.36E-12 3.73E+06 1.50E-10 8.10E-01 7.09E-01 1.35E-01 7.64E+05 1.80E+06
28 12    9.44E-13 4.096+06 1.91E-10 8.29E-01 6.44E-01 1.34E-01 7.44E+05 1.25E+06
28 13    6.35E-13 4.46E+06 2.29E-10 8.28E-01 5.25E-01 1.92E-01 6.65E+05 1.89E+06
28 14    3.80E-13 4.99E+06 2.63E-10 8.34E-01 4.46E-01 3.32E-01 5.97E+05 8.84E+05
28 15    2.17E-13 5.39E+06 3.16E-10 8.36E-01 3.63E-01 3.37E-01 5.24E+05 1.28E+06
28 16    5.74E-14 5.79E+06 3.63E-10 8.40E-01 3.02E-01 1.21E-01 4.96E+05 6.24E+05
28 17    1.04E-13 6.63E+06 4.03E-10 8.46E-01 1.02E-01 5.14E-02 4.46E+05 1.59E+06
28 18    3.88E-14 7.04E+06 4.73E-10 8.50E-01 2.70E-01 1.83E-01 8.49E+06 8.01E+06
28 19    5.65E-14 1.80E+07 5.25E-10 8.36E-01 4.87E-02 7.56E+00 1.36E+06 9.32E+06
28 20    4.02E-14 1.91E+07 5.75E-10 8.24E-01 8.35E-02 4.55E+00 1.23E+06 9.45E+06
28 21    3.25E-14 2.04E+07 6.38E-10 8.16E-01 9.96E-02 4.87E+00 1.06E+06 9.45E+06
28 22    2.65E-14 2.20E+07 7.08E-10 8.11E-01 1.99E-01 2.19E+00 1.25E+06 8.01E+06
28 23    1.83E-14 2.33E+07 7.94E-10 8.08E-01 2.40E-01 1.15E+00 1.23E+06 7.57E+06
28 24    1.15E-14 2.47E+07 8.71E-10 8.00E-01 1.15E-01 1.23E+00 3.32E+05 2.64E+06
28 25    8.39E-15 2.66E+07 8.91E-10 7.18E-01 3.16E-02 1.32E-01 6.45E+05 1.93E+06
28 26    3.84E-15 2.78E+07 9.14E-10 6.77E-01 8.03E-01 2.89E-01 6.65E+07 1.19E+07
28 27    4.21E-16 1.19E+08 1.06E-09 7.32E-01 5.75E-01 2.86E-01 6.81E+07 9.08E+06
28 28    1.91E-16 1.25E+08 1.45E-09 7.26E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00
