 atom ion ishell  a       b     c       d     e
   26 19  2   1548.0   19.2   -5.5    2.8  -12.3                        
   28 21  1   1756.0   49.29 -15.28   5.77 -30.11                       
   28 21  2   1882.9   16.36  -4.97   3.35 -11.09                       
   10  2  1     41.1   33.8  -20.4   15.5  -46.0                        
   10  2  2     66.4   18.6   -4.7    2.8  -20.2                        
   11  3  1     71.7   50.1  -20.2   14.8  -41.7                        
   11  3  2    102.0   18.8   -5.0    2.8  -19.6                        
   12  4  1    109.0   50.1  -20.2   14.2  -41.7                        
   12  4  2    144.0   19.1   -5.3    2.8  -19.0                        
   13  5  1    154.0   60.8  -20.2   13.7  -41.7                        
   13  5  2    194.0   19.2   -5.5    2.8  -18.4                        
   14  6  1    205.0   60.8  -20.2   13.2  -41.7                        
   14  6  2    250.0   19.3   -5.8    2.8  -17.8                        
   16  8  1    328.0   60.8  -20.2   10.9  -41.7                        
   16  8  2    384.0   19.3   -6.3    2.8  -16.6                        
   18 10  1    479.0   60.8  -20.2    9.3  -41.7                        
   18 10  2    545.0   19.4   -6.8    2.8  -15.3                        
   20 12  1    657.0   60.8  -20.2    8.1  -41.7                        
   20 12  2    734.0   19.4   -7.3    2.8  -14.1                        
   26 18  1   1358.0   68.5  -22.0    5.1  -41.5                        
   26 18  2   1471.0   19.2   -5.5    2.8  -12.3                        
   28 20  1   1655.5   61.24 -19.16   7.78 -38.09                       
   28 20  2   1786.4   16.49  -5.11   3.44 -11.41                       
   10  1  1     21.6   40.0  -42.0   18.0  -56.0                        
   10  1  2     48.5   19.1   -4.9    2.8  -21.8                        
   11  2  1     47.3   48.5  -33.5   19.4  -65.9                        
   11  2  2     80.1   19.2   -5.3    2.8  -21.2                        
   12  3  1     80.1   55.5  -24.1   18.7  -65.0                        
   12  3  2    119.0   19.3   -5.6    2.8  -20.5                        
   13  4  1    120.0   69.8  -23.7   18.0  -69.8                        
   13  4  2    164.0   19.5   -5.9    2.8  -19.8                        
   14  5  1    167.0   70.8  -23.4   17.4  -64.2                        
   14  5  2    217.0   19.6   -6.2    2.8  -19.0                        
   16  7  1    281.0   72.0  -21.7   14.2  -55.9                        
   16  7  2    343.0   19.6   -6.8    2.8  -17.5                        
   18  9  1    423.0   72.6  -19.9   11.9  -51.0                        
   18  9  2    498.0   19.6   -7.3    2.8  -16.0                        
   20 11  1    592.0   76.5  -24.5   10.3  -50.5                        
   20 11  2    680.0   19.5   -7.8    2.8  -14.5                        
